state_index,time_us,connected_extension_d0.5,connected_extension_d0.8,connected_extension_d0.9
1224,19.999504044839373,6.191932908674499,5.396138092998481,5.1280774254889
1255,20.506441596262125,6.72162568460077,6.191932908674499,5.923767962869469
1285,20.99702632344543,7.2961060541199,6.71964547922936,6.45643300509991
1316,21.503963874868177,8.0494035712885,7.2961060541199,6.987534407898291
1346,21.99454860205148,8.57822932292392,7.782944699567221,7.515709454742709
1377,22.50148615347423,9.207204568762108,8.57822932292392,8.31196163931645
1407,22.992070880657533,9.64165305402997,9.10839458025065,8.845620354762708
1438,23.49900843208028,10.437496539627428,9.64165305402997,9.3736786567821
1469,24.00594598350303,11.0463105008924,10.437496539627428,10.1693225943399
1499,24.496530710686333,11.498376204453429,10.965154524420939,10.701754892416819
1530,25.00346826210908,12.161716816910477,11.498376204453429,11.233152418297461
1560,25.494052989292385,12.823900646107731,12.028613253369677,11.76117602979959
1591,26.000990540715133,13.353764364945327,12.823900646107731,12.557380771157348
1622,26.50792809213788,13.931576485681788,13.353764364945327,13.09108106031232
1652,26.998512819321185,14.414886510925768,13.887156432357507,13.619296692148879
1683,27.505450370743933,15.210672511168212,14.414886510925768,14.150327093481657
1713,27.996035097927237,15.780780964475007,15.210672511168212,14.947060494731161
1744,28.50297264934999,16.540217641459208,15.780780964475007,15.47875020467393
1774,28.99355737653329,17.069579041097043,16.274261316071417,16.00664530891615
1805,29.50049492795604,17.864927674026333,17.069579041097043,16.80280374252883
1836,30.007432479378785,18.66047366587288,17.864927674026333,17.336526054634888
1866,30.498017206562093,20.0,18.66047366587288,18.132653493967993
1897,31.00495475798484,20.0,20.0,19.008992422339787
1927,31.495539485168145,20.0,20.0,20.0
1958,32.00247703659089,20.0,20.0,20.0
1988,32.49306176377419,20.0,20.0,20.0
2019,32.999999315196945,20.0,20.0,20.0
2050,33.50693686661969,20.0,20.0,20.0
2080,33.99752159380299,20.0,20.0,20.0
2111,34.50445914522574,20.0,20.0,20.0
2141,34.99504387240905,20.0,20.0,20.0
2172,35.50198142383179,20.0,20.0,20.0
2202,35.9925661510151,20.0,20.0,20.0
2233,36.49950370243785,20.0,20.0,20.0
2264,37.006441253860594,20.0,20.0,20.0
2294,37.4970259810439,20.0,20.0,20.0
2325,38.00396353246664,20.0,20.0,20.0
2355,38.49454825964995,20.0,20.0,20.0
2386,39.0014858110727,20.0,20.0,20.0
2416,39.492070538256,20.0,20.0,20.0
2447,39.999008089678746,20.0,20.0,20.0
2478,40.505945641101505,20.0,20.0,20.0
2508,40.9965303682848,20.0,20.0,20.0
2539,41.50346791970755,20.0,20.0,20.0
2569,41.99405264689086,20.0,20.0,20.0
2600,42.50099019831361,20.0,20.0,20.0
2631,43.00792774973635,20.0,20.0,20.0
2661,43.49851247691966,20.0,20.0,20.0
2692,44.00545002834241,20.0,20.0,20.0
2722,44.49603475552571,20.0,20.0,20.0
2753,45.00297230694846,20.0,20.0,20.0
2977,48.666004936583796,20.0,20.0,20.0
3201,52.329037566219135,20.0,20.0,20.0
3425,55.992070195854474,20.0,20.0,20.0
3650,59.67145564972925,20.0,20.0,20.0
3874,63.3344882793646,20.0,20.0,20.0
4098,66.99752090899993,20.0,20.0,20.0
4322,70.66055353863527,20.0,20.0,20.0
4547,74.33993899251006,20.0,20.0,20.0
4771,78.0029716221454,20.0,20.0,20.0
4995,81.66600425178075,20.0,20.0,20.0
5219,85.32903688141607,20.0,20.0,20.0
5443,88.99206951105143,20.0,20.0,20.0
5668,92.6714549649262,20.0,20.0,20.0
5892,96.33448759456155,20.0,20.0,20.0
6116,99.99752022419688,20.0,20.0,20.0
